rc1_8_5  72 34481.02
rc1_8_6  72 34849.96
rc1_8_7  72 33102.75
rc1_8_8  72 33188.75
rc1_8_9  72 33350.51
rc1_810  72 31766.56
rc110_1  90 47143.90
rc110_2  90 44906.58
rc110_3  90 43390.58
rc110_4  90 41917.14
rc110_5  90 46631.89
rc110_6  90 46391.60
rc110_7  90 46157.71
rc110_8  90 45406.46
rc110_9  90 45149.72
rc11010  90 44947.71
rc2_2_1   6 3099.53
rc2_2_2   5 2825.24
rc2_2_3   4 2603.83
rc2_2_4   4 2043.05
rc2_2_5   4 2911.46
rc2_2_6   4 2920.07
rc2_2_7   4 2525.83
rc2_2_8   4 2293.35
rc2_2_9   4 2175.04
rc2_210   4 2015.60
rc2_4_1  11 6688.31
rc2_4_2   9 6355.59
rc2_4_3   8 4958.74
rc2_4_4   8 3635.04
rc2_4_5   9 5923.95
rc2_4_6   8 5863.56
rc2_4_7   8 5466.70
rc2_4_8   8 4848.87
rc2_4_9   8 4599.57
rc2_410   8 4311.59
rc2_6_1  14 25524.13
rc2_6_2  12 11853.72
rc2_6_3  11 9816.47
rc2_6_4  11 7197.11
rc2_6_5  11 28476.27
rc2_6_6  11 12282.52
rc2_6_7  11 10929.56
rc2_6_8  11 10474.95
rc2_6_9  11 9821.39
rc2_610  11 9339.41
rc2_8_1  18 42243.22
rc2_8_2  16 46587.92
rc2_8_3  15 14800.78
rc2_8_4  15 11312.68
rc2_8_5  15 48543.74
rc2_8_6  15 18600.22
rc2_8_7  15 17327.53
rc2_8_8  15 16203.18
rc2_8_9  15 15622.52
rc2_810  15 14892.29
rc210_1  20 63373.15
rc210_2  18 27552.05
rc210_3  18 20276.16
rc210_4  18 15954.60
rc210_5  18 27766.56
rc210_6  18 27003.30
rc210_7  18 25526.73
rc210_8  18 24335.40
rc210_9  18 23465.51
rc21010  18 22481.03
